phase,epoch,train_accuracy,train_recall,train_f1,train_auc,train_loss,val_accuracy,val_recall,val_f1,val_auc,val_loss
1,1,0.48513831665685697,0.38233565784012075,0.28100374239684817,0.7662184010017423,1.605340944591026,0.60801393728223,0.5053813097226695,0.41063063147695894,0.8583113039326736,1.209683877942731
1,2,0.540759270158917,0.4871821652800908,0.34807587702745163,0.8451025429974607,1.3457295216834846,0.616144018583043,0.533683069914991,0.4192210251918471,0.8645175622413172,1.1235322460757178
1,3,0.5484108298999412,0.5251578958949807,0.3630815046600201,0.8514122834722022,1.3030555429284612,0.624274099883856,0.5262529396800426,0.4195350460184825,0.8678840408822815,1.0919803858634072
1,4,0.5532666274278988,0.5306110954850304,0.3692849232431218,0.8610354438409066,1.2488448949615136,0.5934959349593496,0.5169668760353185,0.40941872758686826,0.8692504755007564,1.1431074614585761
1,5,0.5556209535020601,0.5336215660955658,0.37819839354746493,0.8693160824851287,1.2284770269405147,0.5998838559814169,0.5155398140172883,0.4071990878596516,0.8714057872310532,1.1092796001700158
2,6,0.5863743378457916,0.5907114389500043,0.4185465976653721,0.8857128310826757,1.1151408866933685,0.6492450638792102,0.6220391239464735,0.493304049333962,0.9087936645972664,0.934343012437034
2,7,0.6464096527369041,0.6738511077335042,0.49387883085893897,0.9198812801883437,0.8937326629699294,0.6980255516840883,0.6822880650038722,0.5436940909060958,0.9250003879531922,0.8379122173883081
2,8,0.6820188346085932,0.7317105366375694,0.5476103236628725,0.9348533761351702,0.7745303176584631,0.705574912891986,0.6643050899739491,0.5472413749072684,0.9289886687625045,0.788230895165367
2,9,0.7021777516185992,0.7549482936882624,0.6002859461222535,0.9432126753804526,0.7020148418453457,0.7288037166085947,0.6888768166574709,0.590561514337567,0.9359471117326289,0.7368395766730093
2,10,0.7177751618599176,0.7844868412472114,0.6223123223183159,0.9547597276589297,0.5878666404978958,0.7415795586527294,0.7102877619725516,0.6051870681899781,0.9383071205025623,0.714043766087079
2,11,0.7563272513243084,0.8124597927600042,0.6852640581071577,0.9630976190920579,0.5147236022547879,0.7293844367015099,0.716570945726963,0.5961300498340618,0.9390665673275979,0.7285343735337119
2,12,0.7691288993525603,0.820191198297166,0.6908984746791774,0.9656927802502768,0.5050536482877209,0.7456445993031359,0.6670053534608597,0.6050389510936608,0.9380838354153695,0.6866816561950347
2,13,0.7794290759270159,0.8403501706299167,0.7128544327923452,0.9698669723796824,0.4693903940400353,0.7253193960511034,0.6949588672808694,0.5829376271920129,0.9340218461840752,0.7378617894774114
2,14,0.7976751030017657,0.8670304128280512,0.7585084476930758,0.9746579444819664,0.396522544355095,0.7624854819976771,0.7102474737226682,0.6407793068606232,0.9421361680550017,0.680856859573227
2,15,0.8157739846968806,0.8816164632453101,0.7790938604408462,0.9787962166631147,0.3456959375884689,0.7752613240418118,0.717339381748494,0.6462725805075776,0.9464948099000178,0.6440383021424456
2,16,0.8170982931135963,0.8855414692600229,0.7763505239205459,0.9799691940673119,0.3337738277624115,0.7723577235772358,0.7044861355050619,0.6307501735135393,0.9413508287070002,0.6683388196978973
2,17,0.8443201883460859,0.9032018724024106,0.8265400452531829,0.9849471054874466,0.27928772491521875,0.7549361207897793,0.7028437126303724,0.6246464218103827,0.9383528874756609,0.72595648130058
2,18,0.8387286639199529,0.904848480143263,0.8198437587282622,0.9845132350198931,0.2750217122776218,0.7613240418118467,0.6772064428930605,0.622736220267176,0.9364422620559496,0.7086510455774513
2,19,0.8538846380223661,0.9127825514049812,0.8392672576847782,0.9863079602457535,0.26039114821616727,0.7677119628339141,0.6834468285418863,0.6477070664231964,0.9295750808894608,0.7067089869654829
2,20,0.8711006474396704,0.9256886337777386,0.8556551086888141,0.9883837922018684,0.23855369803377852,0.7630662020905923,0.7012937402587189,0.6441588272589414,0.9360453076009445,0.7245393827747939
2,21,0.8640376692171866,0.9295477797041435,0.8539781320383696,0.9885815527781946,0.21687338243799395,0.7770034843205574,0.7008931723331877,0.6545256586570817,0.9408897603870895,0.6918092208041546
2,22,0.8812536786344909,0.9346826025926944,0.8732607020735923,0.9906702388974507,0.19798723157887743,0.7839721254355401,0.7016902979411831,0.6738741278190398,0.9394930273171063,0.6991037189545116
