metric,value,ci_low,ci_high
auc_macro,0.9668414251594167,0.9608475686071172,0.9724940532152488
map_macro,0.7861327963941749,0.7445301003109618,0.8279616185228876
brier,0.26289707782469374,0.24025799691361982,0.28519321983087975
recall_mel,0.8571428571428571,0.8042190086668614,0.9044585987261147
recall_bcc,0.7922077922077922,0.6944166666666667,0.8701413292589762
recall_macro,0.7261940544602323,0.675028208864619,0.7730637216567615
f1_macro,0.6996024699381909,0.6528960446174905,0.7394969286497154
