phase,epoch,train_accuracy,train_recall,train_f1,train_auc,train_loss,val_accuracy,val_recall,val_f1,val_auc,val_loss
1,1,0.5156845499853415,0.38466111796882074,0.2999804656121487,0.7719144916605132,1.6302510949741253,0.5966981132075472,0.5213087295962563,0.39857132109276056,0.8703346689872017,1.2121867498136916
1,2,0.5653767223688068,0.4771179371644826,0.3521322527867167,0.8427588187039154,1.403871183065472,0.5931603773584906,0.5539031722130023,0.40891968166220477,0.8810303468919337,1.169617715309251
1,3,0.5617121078862504,0.5049766270154431,0.3650669702524692,0.8619311098902759,1.3237511185179425,0.6073113207547169,0.5576825924238393,0.42108466685782014,0.89141276977177,1.11245418888218
1,4,0.5593667546174143,0.5112237102360561,0.36281471270029125,0.8585135010857144,1.316535136315942,0.6362028301886793,0.5648414788473834,0.4558207992375786,0.8967648454993059,1.0448287545510058
1,5,0.5820873644092641,0.544945631324519,0.3940607658047871,0.8716505070437754,1.2607522702084297,0.629127358490566,0.5798601896197649,0.44867041231511273,0.8962231037945038,1.072463924030088
2,6,0.6014365288771621,0.5881698488649525,0.42227546841174396,0.8942343603254708,1.123383468195547,0.6863207547169812,0.671219673999172,0.5484355366624725,0.9266043849846243,0.840629370004501
2,7,0.6572852535913222,0.6736531332337592,0.5075901692600555,0.919636708424691,0.9279728741703128,0.7211084905660378,0.6950188563712955,0.5849855244662495,0.9425086523124093,0.7353908530664894
2,8,0.689094107299912,0.7291345254141757,0.5676760200136354,0.9378262168632129,0.7709626028244881,0.7352594339622641,0.6897897416534019,0.5967583101663513,0.9464666099329733,0.709667355700765
2,9,0.712401055408971,0.7485345314414981,0.6074081298442537,0.946855476527784,0.6866756390962598,0.7676886792452831,0.7046971690485625,0.6174320573163333,0.9442609709843187,0.6506507203404633
2,10,0.7464086778070947,0.7857405628842379,0.6459082132632268,0.9554854350001243,0.6185049794699502,0.7405660377358491,0.7226461894110067,0.6105917465269014,0.9448159906044792,0.7034715064713415
2,11,0.7593081207856933,0.7984550218688217,0.6573945063243928,0.9602031192755923,0.5647442692782095,0.745872641509434,0.7242414436827947,0.6378526199596087,0.9482949034040171,0.6817146584145585
2,12,0.7659044268542949,0.8137890341936238,0.6851801790557808,0.964844292450106,0.5361965302278554,0.7659198113207547,0.7015342923626887,0.622896939911125,0.9483803179140009,0.6422110508494782
2,13,0.7880386983289358,0.839709459089829,0.7350276841097146,0.9677624835973146,0.47890771682994243,0.7535377358490566,0.6930205424023612,0.6020531147093384,0.9406148011192281,0.6446117898800744
2,14,0.7899442978598652,0.8537294852099694,0.738556088809583,0.9727986734332639,0.42449196637533027,0.7783018867924528,0.7121120605267619,0.6415144328326227,0.9508172606800614,0.6177103742254231
2,15,0.8010847258868367,0.8527444669448504,0.7433405140118465,0.9752288611780946,0.41137499340605926,0.7788915094339622,0.6941775417496724,0.6287559851321068,0.9427164144819523,0.6191220515108896
2,16,0.8153034300791556,0.8712971308804323,0.757986792527856,0.9776996116408087,0.39191214797504487,0.7700471698113207,0.7134196454401552,0.6594748171008173,0.9534600606499,0.6179283024778344
2,17,0.8279097038991499,0.8892450526004928,0.7995096675966512,0.9817883920575055,0.31494261275477786,0.7670990566037735,0.7035843229258775,0.6231714141894039,0.9438635031938291,0.6589914263876261
2,18,0.8343594253884491,0.8844505580897534,0.7895447298593635,0.9824760630080628,0.31631236092431286,0.7859669811320755,0.7028778670178539,0.6609023464588469,0.9425002597602391,0.6328661111271325
2,19,0.8397830548226327,0.8987717231165728,0.8100275655085097,0.984638779178777,0.29278445511191376,0.7788915094339622,0.692025943735975,0.6443937258953946,0.9374123082114714,0.6504018607215499
2,20,0.8575197889182058,0.9094439641467584,0.8338092568386252,0.9859012659991279,0.27025990323110327,0.7942216981132075,0.684531346810585,0.6495485156728182,0.9385051266752826,0.6177379545351526
2,21,0.8666080328349458,0.9214304601772261,0.8500150894450031,0.9877780731437823,0.24879776239744628,0.7741745283018868,0.7060245152745056,0.6591417160760101,0.9360722217457323,0.6711505479970068
2,22,0.861624157138669,0.9144351884219054,0.8334225628684725,0.9855157558756982,0.26676973275025545,0.7954009433962265,0.7204594175393808,0.6703361488878533,0.9410213417510718,0.6465803686054951
2,23,0.8737906772207564,0.9281775543569927,0.8558379505493747,0.9898597049483226,0.22300548549622462,0.7995283018867925,0.7263401286142807,0.6777448819859162,0.9418628662383703,0.6182634279325183
