phase,epoch,train_accuracy,train_recall,train_f1,train_auc,train_loss,val_accuracy,val_recall,val_f1,val_auc,val_loss
1,1,0.5111404280269716,0.3761505238197199,0.2935543169804244,0.7731221158263581,1.626105112821187,0.6155660377358491,0.5558773759548477,0.4247407558590206,0.8754318083649938,1.185508984439778
1,2,0.5646437994722955,0.4826954070052887,0.3567846816409297,0.8426919711503863,1.3865570471944504,0.6226415094339622,0.5969937555533319,0.43604896604025684,0.8902114441599605,1.135521003660166
1,3,0.568894752272061,0.5209389993431669,0.3763549780913555,0.8646356581100348,1.2946068116277238,0.6120283018867925,0.5655474496813042,0.4241223548576853,0.8913741392231287,1.087240052673052
1,4,0.5599530929346233,0.5135812313980775,0.3656585511336922,0.8686969690907783,1.2708028826466127,0.6509433962264151,0.6017699188203461,0.47538472963108097,0.8965887869741641,1.022561990989829
1,5,0.5756376429199648,0.5535976447513123,0.39594170966385506,0.8807145073889358,1.2121835906147014,0.6350235849056604,0.5916242134512196,0.4570646613100809,0.8974042331322132,1.058384783987729
2,6,0.628114922310173,0.6236542606620089,0.4538188747731914,0.9081679087568826,1.0372239855579253,0.7152122641509434,0.679866007048177,0.564399660087336,0.9321897161138496,0.7570779844415638
2,7,0.6877748460861918,0.7129475203175554,0.5500833200144268,0.932898792002765,0.822550107423807,0.7482311320754716,0.7323639763404557,0.6249612554881109,0.9484214246271986,0.6766675601379489
2,8,0.7201700381119907,0.7688298519467772,0.6211533109527999,0.9488025926835573,0.6714156761927117,0.7606132075471698,0.7255904406953694,0.6499597572505961,0.9544699865865358,0.6347727651163092
2,9,0.7474347698622105,0.7935939085099369,0.6579639432078149,0.9597588884988314,0.5681468988488896,0.78125,0.7299834473168991,0.6325697113537042,0.9419478643813204,0.6420605151017882
2,10,0.7701553796540604,0.8199595701009476,0.686998674455485,0.9663503407407639,0.5085679138119149,0.7564858490566038,0.7080185974808162,0.6382017010522275,0.949091341625808,0.6705668952562055
2,11,0.7906772207563765,0.8517086181986032,0.7373583425441097,0.9717007340708433,0.4324250657234818,0.7647405660377359,0.6995325588607635,0.6325093188001648,0.9453584491092489,0.6563325785451902
2,12,0.8053356786866022,0.8551273652619213,0.7378158458740457,0.9752508526117921,0.4275917833989333,0.777122641509434,0.7107398119707613,0.6507909882817603,0.9517950757822832,0.6208330642361686
2,13,0.8261506889475227,0.8812655015109793,0.7824170846226423,0.9789507870901337,0.3537373581578465,0.785377358490566,0.7077040020703135,0.646983307427769,0.9477979107990536,0.6204856506302813
2,14,0.8299618880093814,0.8875844537145264,0.79508930643234,0.9812911056607971,0.32628504106705575,0.7847877358490566,0.689255284240881,0.6310765412237863,0.9524354555282155,0.6260083068583934
2,15,0.8386103781882146,0.8955642307250947,0.796902940209438,0.9836987703455458,0.2993841920734955,0.7824292452830188,0.7285325926850825,0.6572684937903935,0.9512043892210676,0.6302940730743531
