phase,epoch,train_accuracy,train_recall,train_f1,train_auc,train_loss,val_accuracy,val_recall,val_f1,val_auc,val_loss
1,1,0.4991243432574431,0.3952679166244747,0.2957931562499339,0.7886757837264995,1.554660462386693,0.6212484993997599,0.5357911421546636,0.4329338175619602,0.9001947420124691,0.9728405969340403
1,2,0.5449503794512551,0.4877673947220819,0.35385380526908705,0.849373098483796,1.3336000347861197,0.6644657863145258,0.5765843562990158,0.47677073137664305,0.9101163559442986,0.9008531141109398
1,3,0.5528312901342674,0.5270641772309439,0.3738505404214031,0.8662178534831716,1.2293596369302975,0.5936374549819928,0.6360548907201317,0.44840424455263267,0.9065219058439953,1.0329266136863222
1,4,0.5755983654407473,0.5615147880476546,0.39854751420207535,0.8785456191134337,1.1862698267999616,0.6284513805522209,0.6580750052313112,0.49702327830754117,0.9122548732772996,0.984785482519958
1,5,0.5843549328663165,0.5751764724769107,0.40790720963427,0.8856983130301348,1.1403344775665871,0.67046818727491,0.656610094601412,0.5127766773245371,0.9186977725235356,0.8704979551367972
2,6,0.6094570928196147,0.6025263420832276,0.4391230285856702,0.9020983678397414,1.0570824843572024,0.6668667466986795,0.7004417868193336,0.5271209778497327,0.9325263030865353,0.835776262638234
2,7,0.6576182136602452,0.6965798907611642,0.5221151000034084,0.9279942936445981,0.843475868669923,0.7028811524609844,0.7280591005242305,0.5857960816173812,0.947112780149132,0.7196566570921391
2,8,0.6863689433741973,0.7266088998827261,0.5647513537158303,0.9391920906168287,0.7644647894306483,0.7178871548619448,0.737387266998948,0.5856950293872253,0.9493980919366111,0.6759048760080395
2,9,0.7025685931115003,0.761889248959298,0.6090812598628661,0.9455860767023776,0.688863946830607,0.7430972388955582,0.7342847275982507,0.6220519860995763,0.9545813836605662,0.6245263868860123
2,10,0.7262113251605371,0.7864514189539881,0.632608285670642,0.9522782836188084,0.6589271131135258,0.7527010804321729,0.7210466918638554,0.6172463205294199,0.9513406260643896,0.6148664341369668
2,11,0.7488324576765908,0.813215887572435,0.6893025673451366,0.9608712379828475,0.5263977888656233,0.7527010804321729,0.7457394685116875,0.650237430795233,0.9570354048449742,0.5986616314173031
2,12,0.756713368359603,0.8258323609487845,0.7052697524390682,0.9624364603268549,0.5160788675532032,0.7448979591836735,0.7457262010302455,0.6197339663908815,0.9542101224016749,0.635099376620007
2,13,0.7578809106830122,0.8341355186855146,0.7017579136043557,0.9650952048814323,0.49059358327902347,0.7857142857142857,0.7331533024203015,0.6773664891468315,0.9569790950136169,0.5990516113079324
2,14,0.7736427320490368,0.853646449881667,0.7322985934514199,0.9709697145366091,0.4401471094123397,0.7785114045618248,0.7181694184476567,0.6602298051533795,0.9565667757050816,0.6047978852959384
2,15,0.7926152948044367,0.8607594078037388,0.7481709923316646,0.9730151538067489,0.40632449751594785,0.7821128451380552,0.7462947910504909,0.6864359152035604,0.9555486938262318,0.6072219110631786
2,16,0.8003502626970228,0.8712197574695593,0.762972903729142,0.9759313960253057,0.37758302852137354,0.7779111644657863,0.7408794631777845,0.6654372835033909,0.9584090271953866,0.6038372021790097
2,17,0.8047285464098074,0.8790608361011542,0.7758133485064256,0.9767045239403708,0.36704116913566653,0.7797118847539015,0.7156918583831999,0.6711710090867561,0.9578232011204938,0.6264419184610838
2,18,0.8169877408056042,0.8923606184277123,0.7997538671681911,0.9789512233877202,0.3286592070463451,0.7941176470588235,0.7440376320052475,0.6874615801901008,0.9602944323951231,0.5890276036476817
2,19,0.8219497956800934,0.8880487922917268,0.7959600906314114,0.9808550178960606,0.3323557166783906,0.7923169267707083,0.7299686078552282,0.6738849819192091,0.9608879012833734,0.5687534102626672
2,20,0.8336252189141856,0.9016751670667607,0.8125166131886933,0.9829975246852002,0.30490577342700903,0.7977190876350541,0.7352503457321738,0.6819403415539254,0.9584588650230914,0.59796027630335
2,21,0.8312901342673672,0.8986081618563195,0.8104787743072535,0.9825080275909324,0.2946355912640856,0.7917166866746699,0.7409888686054501,0.6655516410219294,0.957479259482682,0.6033730242213532
2,22,0.8436952714535902,0.9189960416417999,0.8384508151896896,0.9859977222407081,0.2546571814571983,0.7893157262905162,0.7398841095942806,0.6854631584474921,0.9586420940430322,0.6207696855971578
2,23,0.8471978984238179,0.9191166101761893,0.8307226087694038,0.9863981444954067,0.24824016744361171,0.7839135654261705,0.7595263438090581,0.6815325891952304,0.9583797745695103,0.6230489488932587
2,24,0.8515761821366025,0.9245674198105532,0.8414234428211517,0.9868143181189499,0.23790479851130916,0.787515006002401,0.7249109735782674,0.6711018510842919,0.9587302305866608,0.6094345784648841
2,25,0.8544950379451255,0.9183184635873902,0.8421140590362348,0.9865601051416109,0.24604332076480218,0.8055222088835534,0.7371945788734277,0.6856778731582595,0.9603829282119359,0.5798753475443889
2,26,0.8527437244600117,0.9216646199831838,0.8413426681694522,0.9881568266118166,0.21410062576829517,0.801920768307323,0.7374805389600736,0.6845190061121758,0.9595527301283822,0.59697003290728
