phase,epoch,train_accuracy,train_recall,train_f1,train_auc,train_loss,val_accuracy,val_recall,val_f1,val_auc,val_loss
1,1,0.5498387569627675,0.3500075049148566,0.29861059905973264,0.7744818478807993,1.6030636992632068,0.6149764150943396,0.49769828276979033,0.4330630422048574,0.8832096206101642,1.0840049203274384
1,2,0.5765171503957783,0.46750548821272353,0.36132259739932315,0.844182995893999,1.397692941668725,0.6149764150943396,0.590296786303668,0.41064627439703283,0.8907755606189343,1.100067042798366
1,3,0.5769569041336852,0.4893169362009833,0.3700838706256807,0.860533203751149,1.3400466153783135,0.6303066037735849,0.5756109686005093,0.4494462331106999,0.8887813815532998,1.0478025941916231
1,4,0.6043682204632073,0.5345168439717055,0.4057076452897398,0.8717970933031214,1.2634475928043487,0.6255896226415094,0.5775483726181836,0.468442779510458,0.8913998861513261,1.0308698114921462
1,5,0.5970389914980944,0.5240790244591174,0.4037666288481109,0.8729073086134745,1.2472773151850638,0.6474056603773585,0.6080840491159235,0.48288881674667977,0.8917836604505683,0.9828565784220425
2,6,0.6402814423922604,0.5900604662790673,0.4533534199139628,0.8986261736494304,1.1056329165996257,0.7205188679245284,0.6585116047737146,0.5831351053196538,0.9316349677469765,0.7433293287484151
2,7,0.6888009381413075,0.686145878415062,0.5511152327763419,0.9311289810798714,0.8656723627209558,0.7169811320754716,0.648427020922598,0.5574480510717443,0.9363441702669638,0.7166627376990499
2,8,0.7223688068015245,0.7467634477599214,0.6162998934385154,0.9469768731951932,0.7134022922573184,0.754127358490566,0.6890596536660935,0.6323810329998535,0.9489875308484564,0.6270567246027431
2,9,0.7452360011726766,0.780309395108764,0.6607000516915716,0.955054113040226,0.6311673850161839,0.7553066037735849,0.7115176912449309,0.6161229710935326,0.9483237056777215,0.6566859920737598
2,10,0.761360304895925,0.8105852749744331,0.68752695973978,0.9613082582572535,0.5593425676868794,0.7924528301886793,0.7106521950147527,0.6766122368597163,0.9565678327386758,0.558677115965248
2,11,0.7878921137496335,0.8236178529359591,0.7271714505067812,0.968871682999282,0.5084581085049628,0.7895047169811321,0.7385759172794076,0.687637218292853,0.9519273477347957,0.5737624635375193
2,12,0.8065083553210203,0.8554805880679076,0.7569310816821321,0.9752308686831271,0.43731804292106236,0.816627358490566,0.7212280806625848,0.6854330096882164,0.9595552912726989,0.5167017372331653
2,13,0.8265904426854295,0.8720226617626682,0.7869530215309057,0.9781823273446179,0.3843945946093355,0.8113207547169812,0.6971264957229113,0.6797335951061617,0.9615254821775366,0.5103271233976625
2,14,0.8298153034300791,0.8760179357844972,0.7919194172480987,0.9807040900829743,0.3620311147095136,0.808372641509434,0.7405161492243789,0.7053007982845928,0.9604614325888398,0.5368521866797171
2,15,0.8421284080914688,0.8889218450261592,0.8019660530428779,0.9838239457329677,0.3231859794833974,0.8042452830188679,0.7347969686251448,0.709281626625691,0.9577659695874716,0.5744859522696197
2,16,0.854734681911463,0.9075428571261082,0.8354457917555553,0.9859854398302638,0.2838879274512903,0.7912735849056604,0.7109176112539791,0.6785898892463929,0.9514380787240595,0.5948348753516702
2,17,0.8748167692758722,0.913205199572591,0.8489576787015078,0.9882475596963028,0.2670796900590086,0.8089622641509434,0.7352060969377423,0.7160760926709393,0.9562444375925727,0.5779311671899192
2,18,0.8824391673995896,0.9242698955230824,0.8628902373890069,0.9891921212979911,0.24870980381354038,0.7971698113207547,0.7217209955500251,0.6938250213228968,0.9561153735835369,0.6043851347651139
2,19,0.886103781882146,0.9316621288456816,0.8722959691999751,0.9906255190114683,0.2321483756166265,0.816627358490566,0.7341240324544731,0.7110767499328612,0.9556619178928351,0.5698476685935913
2,20,0.8941659337437702,0.9325388010315551,0.8717932529781941,0.9919144099888699,0.21618583090810858,0.8113207547169812,0.7142828440198337,0.699082773807479,0.9537715880218209,0.6038671070352891
