,auc_macro,map_macro,brier,recall_mel,recall_bcc,recall_macro,f1_macro
localization alone,0.9613,0.7621,0.2932,0.7976,0.7662,0.7187,0.6871
sex_age alone,0.9616,0.7527,0.2703,0.6964,0.8442,0.7493,0.7033
Ensemble std (thr 0.5),0.9623,0.772,0.2728,0.7679,0.8182,0.7484,0.723
Ensemble TTA (thr 0.5),0.9668,0.7861,0.2629,0.7381,0.7922,0.7315,0.7162
Ensemble std (thr 0.30),0.9623,0.772,0.2728,0.8214,0.8182,0.7251,0.6944
Final system: TTA (thr 0.30),0.9668,0.7861,0.2629,0.8571,0.7922,0.7262,0.6996
